P1		P2		Distance	Midpoint
(1,1)		(1,1)		0		(1,1)
(1.2e+24,100)		(0,77)		1.2e+24		(6e+23,88.5)
(1.2e-31,0)		(0,6)		6		(6e-32,3)
(0,0)		(1,5e+43)		5e+43		(0.5,2.5e+43)
(1,1)		(3.8e+12,4.2e+13)		4.21716e+13		(1.9e+12,2.1e+13)
(76,1e+40)		(0,0)		1e+40		(38,5e+39)
(1,-1)		(1,1)		ERR		ERR
(7e+08,-10)		(1,0)		ERR		ERR
(8,0)		(1.2e-45,-1.2e-45)		ERR		ERR
(17,-5)		(0,-6)		ERR		ERR
(-1,8)		(9,10)		ERR		ERR
(-7e+08,10)		(1,0)		ERR		ERR
(8,0)		(-1.2e-45,1.2e-45)		ERR		ERR
(-17,8e+12)		(-5,7)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		ERR		ERR
(-1,-1)		(-1,-1)		
